date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:58	48606/48606	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22bdde-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBold.eot?	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBoldd41d.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:58	24724/24724	---M--	200	added ('OK')	application/font-woff	etag:%226094-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBold.woff	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBold.woff	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:02	48420/48420	---M--	200	added ('OK')	application/x-font-ttf	etag:%22bd24-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBold.ttf	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBold.ttf	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:02	19127/19127	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Dec%202018%2013:50:59%20GMT	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.eot	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.5c.delayed	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:04	19127/19127	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Dec%202018%2013:51:05%20GMT	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.woff	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.5d.delayed	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:06	19127/19127	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Dec%202018%2013:51:07%20GMT	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.ttf	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.ttf	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:08	19127/19127	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Dec%202018%2013:51:09%20GMT	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.svg	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/fontello/fontello.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:10	19127/19127	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Dec%202018%2013:51:12%20GMT	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/css/owl.video.play.png	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/css/owl.video.play.png	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:11	2876/2876	---M--	200	added ('OK')	image/svg+xml	etag:%22b3c-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/Logo_gradient.svg	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/Logo_gradient.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:11	426/426	---M--	200	added ('OK')	image/svg+xml	etag:%221aa-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/down-chevron-grey.svg	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/down-chevron-grey.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:12	1760/1760	---M--	200	added ('OK')	image/svg+xml	etag:%226e0-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/Logo_white.svg	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/Logo_white.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:21:13	420/420	---M--	200	added ('OK')	image/svg+xml	etag:%221a4-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/down-chevron.svg	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/images/down-chevron.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
